Domain,Skills
3D Modelling,"CAD Software, Abaqus, AutoCad, autodesk tinkercad, ANSYS, Autodesk, CATIA, Cinema 4D, CREO, Keyshot, Siemens NX, ansys, solidworks, autocad mechanical"
AR,"C++, autodesk tinkercad"
Arts,"Guitar, Acting, Singing, composing, Sketching, anchoring, Tabla, Craft, Art, Audio editing, video editing, Photo editing, Storytelling, Calligraphy, Cinematography, dance, Comedian, Comic Art, FL Studio, Cooking, Desktop Publishing, Travel Planning, Letter Writing, Report Writing, Lyricist, Memes, Magazine Articles, Motivational Speaking, Music Production, Narration, News Anchoring, Online Articles, Painting, Photography, Spirituality, Poetry, Poetry writing, Public Speaking, Professional Communication, communication, writing, poster design, debate, critical thinking"
Automation,"Ansible, Appium, Autosys, Bamboo, JScript, jenkins, GruntJS, Home Automation, gulp.js, FitNessem, Job Control Language (JCL), Maven, Microsoft Excel Macros, MS-Excel, Targetlink, automation"
Backend,"XML, REST API, Sails.js, TypeScript, Express.js, Django, Java, SQL, sqlite, Firebase, ECMAScript, Server Side, Apache, API, Javascript, JSON, GraphQL, Grafana, Flask, Embedded JavaScript (EJS), javaserver pages (jsp), Java Database Connectivity (JDBC), T-SQL, C#, Grails, Ruby, Hibernate, JavaServer Faces (JSF), HAProxy, Flogo, Python, Jaxrs, JPA, XAMPP, WCF Services, Microservices, mainframe, Mongoose ODM, Mongoose Web Server, NestJS, Node, Node.js, npm, struts, PHP, PHP Applications, PhpMyAdmin, Spring, Smarty, Yii, PHPStorm, PHPUnit, Postman, RAML, c++, aws, spring mvc, rest, spring boot, api development, servlets, go (programming language), kotlin, webapp development, ajax, laravel, java swing, application programming interfaces"
Blockchain,"Ethereum, Bitcoin, Solidity, Supply Chain Management, blockchain"
Business and Enterpreneurship,"Teamwork, Knowledge Process Outsourcing (KPO), Team Leadership, Alteryx, Business Planning, Business Management, CC&B, Channel Partners, COBOL, ERP Software, Enterprise Resource Planning (ERP), Customer Acquisition, International Business Strategy, International Relations, International Trade, Equities, Equity Derivatives, Equity Trading, Digital Transformation, Digital Strategy, Valuation, Leadership, Market Analysis, Market Research, Microsoft Office, Negotiation, New Business Development, New Business Generation, New Client Generation, Open Innovation, Organizational Development, Organization, ORMB, Partner management, Pharma Analytics, Singleview Billing Product, SharePoint, Shared Services, Planning, Process Improvement, Product Design, Product Development, Product Strategy, operations management, Operations excellence, Quality Management, strategic planning, decision making, startups, decision making, strategy, interpersonal skills, powerpoint, marketing strategy, decision making, interpersonal skills, entrepreneurship development, presentation skills, marketing strategy, risk management, personal development"
Business Intelligence,"KOL Identification, Alteryx, Cognos, Microsoft Power BI, MicroStrategy, MicroStrategy Reporting, Netezza, Power BI, microsoft sql server, business intelligence, splunk, apache spark, tableau, strategy, powerpoint, business analytics"
Competitive Programming,"Java, Algorithms, C, C++, python, Javascript, Problem Analysis, Problem Solving, programming, competitive programming, object-oriented programming (oop)"
Computer Network,"Hypertext Transfer Protocol (HTTP), JSON, Telecommunication, TCP/IP, Distributed Systems, CCNA, CCNP, gRPC, Directory Services, network security, network administration, Targetlink, SOAP, Signal Processing, Signal Conditioning, Session Initiation Protocol (SIP), Putty, rest"
